ticker,pais,ret_3m,ret_6m,vol_63,volavg_21
AAPL,US,0.2663071913009232,0.3603345726535836,0.015502124211157643,48164180.952380955
MSFT,US,-0.02021180573440251,0.1869793450133681,0.00998724269646146,20544014.285714287
AMZN,US,0.12149705394381116,0.3476029118794801,0.020665289065096487,55804695.23809524
GOOGL,US,0.415370563150409,0.700300286769518,0.018199385636817385,32054976.19047619
META,US,-0.18739878073578997,0.06812417621348832,0.01969227015023541,19166900.0
NVDA,US,0.10740165237498189,0.7499559700482095,0.020275175803205214,180679919.04761904
TSLA,US,0.38870308736845494,0.6134374429561806,0.029430769811916137,83371542.85714285
JPM,US,0.061438110593773576,0.2407221664994985,0.010888365801565552,8295495.238095238
V,US,0.0016483121642743015,-0.021282784452869907,0.01115930315039765,5561223.80952381
PG,US,-0.037223619120023255,-0.07585558449641872,0.008831026191937544,7678361.904761905
KO,US,-0.012228434009471156,-0.04266588826702966,0.009930362372512713,15839885.714285715
PEP,US,0.014914707380756287,0.09300893293871026,0.013276755009439428,7429919.047619048
NFLX,US,-0.07256807154011535,-0.03931649462722786,0.018909574943708575,4615947.619047619
AMD,US,0.5329206138837772,1.5354897190004797,0.04367456094468889,69792452.38095239
INTC,US,0.8143066661508134,0.8570711026837465,0.043527509998495424,114147871.42857143
DIS,US,-0.03212639582415022,0.20939571916212252,0.009979753638321253,7572385.714285715
PETR4.SA,BR,-0.07008911358299641,-0.0213523083361441,0.01170257656795628,30126152.38095238
VALE3.SA,BR,0.1931315164076708,0.2203966348535087,0.009856698688874564,21874680.95238095
ITUB4.SA,BR,0.08646004379330696,0.07332794992756386,0.011434341681123785,16322166.666666666
BBDC4.SA,BR,0.16529446883994492,0.21693120091249973,0.014299073402505675,30634957.14285714
ABEV3.SA,BR,0.04944177730822452,-0.07843136600157674,0.011928097230855333,29080895.23809524
WEGE3.SA,BR,0.09615384615384626,0.022971980460425367,0.016342146139840526,11597766.666666666
BBAS3.SA,BR,0.17768379891401165,-0.24585167829559385,0.017828682076856804,24485780.95238095
B3SA3.SA,BR,-0.005422129794854347,-0.11631105378125961,0.015654044673979794,27365728.57142857
RAIL3.SA,BR,-0.07669622925631858,-0.12324933982765052,0.0202655869561402,14102057.142857144
PRIO3.SA,BR,-0.07314001044832552,0.0021816698949943536,0.014905735513443296,8567257.142857144
LREN3.SA,BR,-0.1701774109033516,-0.07592595296195925,0.020316362331171567,15662661.904761905
GGBR4.SA,BR,0.14691352152348647,0.25966101177668177,0.013942597796285365,11207880.952380951
